"Outbound Time Stamp 2021-12-02T02:00:00-05:00 Inbound Last Received Time Stamp 2021-12-01T21:06:01-05:00 Inbound Last Changed Time Stamp 2021-12-01T21:06:01-05:00 Environment Name PROD Total Count 612206"
"SP","ATA","AID","BPOA","EPOA","A","MAIN","SUB","Admin Bureau","GWA TAS","GWA TAS Name","Agency Name","BETC","BETC Name","Effective Date","Suspend Date","IsCredit","Adj BETC","STAR TAS","STAR Dept Reg","STAR Dept Xfer","STAR Main Acct","Txn Type","Acct Type","Acct Type Description","Fund Type","Fund Type Description"
"","","000","2017","2017","","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","BXFERD","Balance Transfer , Decrease","2016-10-01","","0","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","COLFNFAJ","Adjustments to Collections to a Non-Financing Account from a Financing Account, Credit Reform","2016-10-01","","0","","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","COLL","Offsetting Collection","2016-10-01","","1","COLLAJ","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","COLLAJ","Adjustment to Offsetting Collections","2016-10-01","","0","","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","COLLFNF","Collections to a Non-Financing Account from a Financing Account, Credit Reform","2016-10-01","","1","COLFNFAJ","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","CXFERD","Transfers to General Fund Receipt Accounts","2016-10-01","","0","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DFCXL","Debt Forgiveness - Cancellation of Debt Adjustment","2020-06-02","","1","","00170100","00","","0100","","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISB","Gross Disbursement","2016-10-01","","0","DISBAJ","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISBAJ","Adjustment to Gross Disbursements","2016-10-01","","1","","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISBUR","Upward Reestimate Payment from Program to Financing Account, Credit Reform","2016-10-01","","0","DISBURAJ","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISBURAJ","Adjustment to Upward Reestimate Payment from Program to Financing Account, Credit Reform","2016-10-01","","1","","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISFCR","Other Disbursements to the Financing Account, Credit Reform","2016-10-01","","0","DISFCRAJ","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
"","","000","2017","2017","","0100","000","01","00170100","Compensation of Members and Related Administrative Expenses, Senate","Congress","DISFCRAJ","Adjustments to Other Disbursements to the Financing Account, Credit Reform","2016-10-01","","1","","00170100","00","","0100","Collection, IPC, NTDOPMT, Payment","EXPND","Expenditure","GF","General Fund",
